173,195,1,도원,Dowon,LINE 1,159,동인천,Dongincheon,LINE 1,160
174,591,1,도화,Dohwa,LINE 1,157,제물포,Jemulpo,LINE 1,158
175,44,2,독립문,Dongnimmun,LINE 3,326,경복궁,Gyeongbokgung,LINE 3,327
176,481,1,독바위,Dokbawi,LINE 6,613,연신내,Yeonsinnae,LINE 6,614
177,105,1,독산,Doksan,LINE 1,P143,금천구청,Geumcheon-Gu Office,LINE 1,P144
178,39,2,독정,Dokjeong,Incheon Line2,I206,검암,Geomam,Incheon Line2,I207
179,346,1,돌곶이,Dolgoji,LINE 6,643,석계,Seokgye,LINE 6,644
180,182,1,동대문,Dongdaemun,LINE 4,421,동대문역사문화공원,Dongdaemun History  Culture Park,LINE 4,422
180,596,1,동대문,Dongdaemun,LINE 1,128,종로5가,Jongno 5(o)-ga,LINE 1,129
182,411,1,동대문역사문화공원,Dongdaemun History  Culture Park,LINE 2,205,신당,Sindang,LINE 2,206
182,632,1,동대문역사문화공원,Dongdaemun History  Culture Park,LINE 5,536,청구,Cheonggu,LINE 5,537
182,648,1,동대문역사문화공원,Dongdaemun History  Culture Park,LINE 4,422,충무로,Chungmuro,LINE 4,423
185,456,1,동대입구,Dongguk Univ.,LINE 3,332,약수,Yaksu,LINE 3,333
186,272,2,동두천,Dongducheon,LINE 1,101,보산,Bosan,LINE 1,102
187,619,1,동두천중앙,Dongducheon jungang,LINE 1,103,지행,Jihaeng,LINE 1,104
188,652,2,동막,Dongmak,Incheon Line1,I132,캠퍼스타운,Campus Town,Incheon Line1,I133
189,180,1,동묘앞,Dongmyo,LINE 1,127,동대문,Dongdaemun,LINE 1,128
189,624,1,동묘앞,Dongmyo,LINE 6,636,창신,Changsin,LINE 6,637
191,642,1,동백,Dongbaek,Yongin Everline,Y114,초당,Chodang,Yongin Everline,Y115
192,290,1,동수,Dongsu,Incheon Line1,I121,부평삼거리,Bupyeongsamgeori,Incheon Line1,I122
193,14,1,동암,Dongam,LINE 1,154,간석,Ganseok,LINE 1,155
194,328,1,동오,Dong-o,Uijeongbu Lrt Line,U118,새말,sae-mal,Uijeongbu Lrt Line,U119
195,557,2,동인천,Dongincheon,LINE 1,160,인천,Incheon,LINE 1,161
196,85,1,동작,Dongjak,LINE 9,920,구반포,Gubanpo,LINE 9,921
196,645,2,동작,Dongjak,LINE 4,431,총신대입구,Chongshin Univ.,LINE 4,432
198,394,2,동천,Dongcheon,Shinbundang Line,D14,수지구청,Suji-gu office,Shinbundang Line,D15
199,188,1,동춘,Dongchun,Incheon Line1,I131,동막,Dongmak,Incheon Line1,I132
200,626,3,두정,Dujeong,LINE 1,P168,천안,Cheonan,LINE 1,P169
