258,방화,Banghwa,LINE 5,510,458487,1132005,37.577446,126.812741
259,배방,Baebang,LINE 1,P174,511635,910112,36.777629,127.052991
260,백마,Baengma,Gyeongui-Jungang Line,K324,454620,1154279,37.658239,126.794461
261,백석,Baekseok,LINE 3,313,450765,1152723,37.652206,126.77762
262,백양리,Baegyang-ri,Gyuongchun Line,P136,629627,1202665,37.830779,127.58933
263,백운,Baegun,LINE 1,153,435164,1105969,37.483664,126.707704
264,버티고개,Beotigogae,LINE 6,632,501220,1123845,37.548013,127.007055
265,범계,Beomgye,LINE 4,442,488992,1079953,37.389793,126.950806
266,범골,Beomgol,Uijeongbu Lrt Line,U112,509590,1174070,37.728755,127.04353
267,별내,Byeollae,Gyuongchun Line,P124,528027,1149915,37.64202,127.12684
268,병점,Byeongjeom,LINE 1,P157,507147,1029150,37.207503,127.032731
269,보라매,Boramae,LINE 7,742,482252,1110542,37.499872,126.920428
270,보문,Bomun,LINE 6,638,504065,1134217,37.585286,127.019381
270,보문,Bomun,Ui Lrt Line,952,504065,1134217,37.585286,127.019381
272,보산,Bosan,LINE 1,102,512355,1225370,37.913702,127.057277
273,보정,Bojeong,Bundang Line,K234,523768,1058578,37.312752,127.108196
274,보평,Bopyeong,Yongin Everline,Y123,548400,1043700,37.258965,127.218457
275,복정,Bokjeong,Bundang Line,K222,527842,1102047,37.470047,127.126662
275,복정,Bokjeong,LINE 8,820,527842,1102047,37.470047,127.126662
277,봉명,Bongmyeong,LINE 1,P170,530135,916612,36.801215,127.135763
278,봉은사,Bongeunsa,LINE 9,929,513192,1114390,37.514219,127.060245
279,봉천,Bongcheon,LINE 2,229,486905,1105552,37.482362,126.941892
280,봉화산,Bonghwasan,LINE 6,647,520005,1143042,37.617283,127.091401
281,부개,Bugae,LINE 1,151,442407,1107372,37.488418,126.74109
282,부발,Bubal,Gyeonggang Line,K418,,,37.260192,127.490277
283,부천,Bucheon,LINE 1,148,451774,1106150,37.48405,126.782686
284,부천시청,Bucheon City Hall,LINE 7,755,447620,1111872,37.504631,126.763538
285,부천종합운동장,Bucheon Stadium,LINE 7,752,455120,1111972,37.50538,126.797337
286,부평,Bupyeong,Incheon Line1,I120,438837,1107772,37.489493,126.724805
286,부평,Bupyeong,LINE 1,152,438837,1107772,37.489493,126.724805
288,부평구청,Bupyeong-gu Office,Incheon Line1,I118,438020,1112972,37.508336,126.720548
